,Id,RegionName,State,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,Unnamed: 277
0,,Los Angeles,CA,165900,165500,165000,164600,164200,163900,163700,163700,164000,164500,164900,165100,165200,165400,165600,166000,166500,167200,168200,169400,171000,172900,174600,176000,177300,178300,179100,179900,180600,181500,182600,183800,185400,187200,188900,190400,191900,193500,195100,196500,197900,199200,200600,202200,204000,206100,208200,210100,212100,214200,216200,218200,220100,221900,223700,225500,227500,229700,231800,233800,235800,237900,240000,242000,244100,246300,248600,251100,253800,256800,259900,263100,266500,270300,274300,278700,283300,288100,293200,298500,303700,308600,313500,318500,323700,329200,335100,341500,348100,354800,361700,368800,376300,384200,392700,402000,412000,422200,432500,442500,451800,460500,468300,475100,481500,487800,494000,500400,507000,514000,521500,529400,537300,545300,552900,559800,565900,571400,576300,580900,585100,588600,591100,592000,591000,589100,586900,584400,582100,580400,578100,575300,571900,568200,564000,558900,552600,545900,539100,532200,525200,518100,510000,500300,489000,477300,466100,457100,450200,444700,439200,434000,429200,424900,420400,415100,408900,402400,397400,395300,395300,396200,397600,399100,400400,400500,400600,400500,401500,403000,403500,400900,399100,397000,395000,393000,391300,388600,385800,383600,381600,379400,377700,376100,373200,369800,367300,365100,363200,362300,362400,363300,365700,369100,371800,373900,375600,377700,380500,384900,389400,393500,399100,407000,415100,423100,430700,437600,443700,448700,452200,454700,456400,457900,460400,463800,466800,470000,474100,478000,480300,481800,483500,484600,486500,490200,494200,497100,499700,502800,505800,509100,512300,516100,520100,524000,528100,532300,535200,537800,540700,543200,545600,549100,553200,557400,560800,564700,569300,573100,575700,578100,580700,583100,586000,589400,594000,599000,603400,607400,611500,616800,622000,625200,626400,628000,629400,630400,631300,633400,636100,638000,638900,640100,679937.5363
1,,San Diego,CA,177100,176800,176500,176200,176000,176000,176200,176500,177100,177900,178600,179100,179600,180000,180500,181100,182000,183000,184400,186000,188100,190400,192600,194500,196300,198100,199900,201700,203400,205200,207000,208900,211100,213500,215700,217700,219800,221900,224100,226400,228700,231200,233800,236700,240000,243600,247000,250200,253300,256500,259600,262600,265400,268000,270600,273200,276000,279000,282000,285000,287800,290600,293300,295900,298700,301600,304900,308400,312400,316600,321000,325500,330200,335000,340000,345200,350500,356100,361800,367500,373100,378400,383400,388500,393700,399200,405000,411300,418000,425100,432500,440100,448100,456600,465600,475500,486600,498700,511700,524600,536400,546400,554700,560800,565300,568800,571700,574500,576800,578200,578700,578100,576800,575400,574200,573300,572900,573000,573600,574400,575000,575100,574500,572700,569900,567000,564300,561600,559200,556900,553700,549500,544700,540000,535400,530600,525400,520300,515000,509200,502700,495600,487600,478700,469300,460200,451800,444500,438700,434100,429700,425700,422100,418900,415300,410700,405400,400000,395900,394600,395200,396500,398200,400000,402000,403800,404400,404500,405700,407400,408100,407300,405500,402600,399100,396500,392800,388500,386600,386900,386500,384700,381100,377600,375100,372700,371400,370800,370100,370200,370700,371100,372700,375900,379300,381900,384800,389000,393600,398400,403400,407200,411800,419800,428000,435800,444800,452800,458600,462800,464800,465900,468300,471900,475100,476500,477200,478400,481000,484000,485600,487100,489200,491000,492000,493700,496900,499900,502400,505600,509700,513700,516800,519300,521500,524100,528800,534200,537100,538700,541400,543900,545400,547200,549900,553300,557200,561600,565200,567500,569700,572800,577700,583100,587500,590300,593000,596400,599800,602700,606400,612400,618800,622700,623600,623200,623200,624800,627500,628800,629700,631000,631300,630400,618409.155
2,6059.0,Orange,CA,214300,214000,213800,213700,213600,213700,213900,214300,214900,215600,216200,216600,217100,217800,218800,220100,221600,223300,225400,227700,230500,233700,236700,239500,242300,245000,247700,250400,253000,255500,258000,260400,262900,265400,267600,269300,270900,272300,273700,275000,276500,278200,280200,282600,285400,288500,291500,294400,297200,300100,303100,306000,309000,312100,315500,319000,322700,326500,330100,333300,336400,339300,342100,345000,348000,351100,354300,357600,361000,364600,368300,372200,376500,381400,386700,392600,398900,405400,412000,418500,424700,430700,436400,442200,448200,454600,461500,469200,477700,486900,496900,507200,518100,529500,541900,555600,570500,585900,600600,613700,624200,632000,638100,643100,648000,653100,658200,663600,668900,673900,679200,684700,690500,696600,702800,709000,715300,721600,727300,732300,736100,738300,738900,737800,735200,731700,727600,723000,718700,715200,711300,706100,699500,692400,684500,675300,665500,656100,647300,638500,629100,619300,609100,598700,588800,581100,575100,570000,565500,561900,558800,556100,553600,551100,547700,542800,537000,531500,527600,526400,527700,530100,533200,536400,539600,540300,539400,539500,541500,542600,542100,540600,539200,537500,534600,529700,523800,519800,517800,515700,513300,510000,506800,504100,500900,496900,493800,493500,494400,494100,493900,495600,497400,499800,503400,508400,513100,518700,524700,530000,535400,543200,552700,563500,575800,587700,597800,605100,610000,613300,616000,618300,620000,622400,625800,628600,630900,633400,634300,633800,634000,635400,637700,640800,643000,644500,647000,650600,653200,655600,658800,662100,666000,671100,674500,677000,680900,684000,684500,685200,686300,687600,690000,693800,697600,700900,704800,708600,711600,715400,719600,722300,724400,726900,730100,733000,735300,737700,740200,743800,748100,753200,757100,759000,760100,762500,766100,769400,771800,771200,770100,770400,771600,771400,808233.8688
3,6065.0,Riverside,CA,132400,131900,131300,130800,130300,130000,129800,129700,129900,130300,130600,130900,131200,131500,131800,132200,132500,132900,133400,134100,135000,136100,137100,138000,139000,139900,140800,141600,142300,143100,144100,145200,146500,148100,149500,150800,152000,153000,153900,154700,155700,156700,157900,159300,160900,162500,164000,165200,166500,167700,168700,169800,170900,172100,173400,174900,176600,178300,180000,181700,183200,184800,186300,187700,189200,190800,192400,194200,196100,198200,200300,202500,204600,207000,209500,212200,215000,218100,221200,224500,227700,230800,233900,237400,241200,245400,250000,254700,259600,264600,269800,275100,280500,286100,292100,298700,306100,314200,323100,332200,340800,348500,355200,361100,366600,372100,377500,383300,389300,395300,400900,405800,409900,413600,416900,419700,422200,424500,426600,428600,430500,432300,433700,433900,433000,431700,430200,428200,425700,423100,419600,414900,409500,404000,398200,391200,383300,375300,367700,359900,351900,344100,335900,326900,317300,307700,298100,289200,281600,274800,268200,261500,254800,248600,242500,235900,229400,223100,217900,215100,214000,213800,214100,214200,214500,214900,214600,214800,215800,216900,217400,217500,216800,215300,213900,213900,213900,213100,213100,213300,212700,211100,208800,206300,205000,203900,202300,201200,201100,201400,202400,204200,205700,206600,207900,209800,211200,212700,215100,218500,221800,225000,228400,232900,238000,244000,250600,256700,261900,266400,270200,273000,274900,277500,280500,283100,285300,288200,291200,292700,293800,295400,297300,298700,300100,301700,303100,303800,305100,307200,308800,309700,311500,314200,316200,317800,319900,321800,322800,323900,326100,328800,332100,335000,336700,338000,340600,343400,344700,344900,345500,347400,349500,351500,354300,357700,360500,363600,366600,368200,369100,371500,374100,375200,375900,378200,381500,384800,387600,388700,387800,387300,389000,391400,395584.2581
4,6071.0,San Bernardino,CA,112500,112300,111900,111500,111100,110700,110300,110000,109800,109700,109600,109500,109400,109300,109400,109500,109700,110000,110200,110600,111000,111500,112000,112400,112900,113400,114000,114400,114800,115100,115500,115800,116400,117000,117600,118200,118800,119500,120300,121000,121700,122400,123000,123600,124400,125400,126400,127400,128300,129300,130200,131000,131800,132600,133500,134400,135500,136700,138000,139100,140200,141400,142700,144000,145200,146500,147900,149200,150700,152200,153800,155400,156900,158500,160300,162200,164300,166700,169100,171700,174300,176800,179200,181900,184800,187900,191200,194700,198300,202200,206500,211200,216400,221800,227400,233500,240000,246800,254100,261900,269700,277300,284700,291600,298500,305000,310900,316700,322500,328100,333800,339400,344700,349900,355000,359900,364800,369400,373900,378700,383500,387500,390400,391800,391300,389400,386800,383400,380300,377500,374800,372600,370700,368200,364900,360500,354700,348300,341900,335500,328800,321300,312300,302400,292200,281500,271000,262000,254400,247500,240500,233800,227400,221200,214900,208900,203100,197000,191500,188000,186000,184600,184100,184500,184200,184000,184900,184700,183200,183100,183800,183500,183200,182900,181800,179900,178400,177800,177400,177100,176500,176100,174800,172900,171300,170300,169700,169600,169000,168500,168900,170100,171200,172600,174100,176000,177500,178500,180100,182400,185400,187900,189900,192400,196500,201100,206400,211200,215500,220000,224100,227000,230700,234500,237400,239800,242200,244100,245800,247500,248900,250300,252300,254100,255100,255500,256400,258300,260400,262100,263500,265200,267100,268900,270600,272300,273800,275600,277600,279600,281900,284100,285800,287700,290200,292600,294400,295800,297700,300000,302400,305000,307500,310400,314400,318200,319800,320500,321500,323300,325300,327500,330100,332400,334700,337500,340100,342600,343900,344100,344000,345100,346500,347400,348131.0963
5,6085.0,Santa Clara,CA,272800,273700,274700,275900,277100,278400,280000,281700,283900,286400,289000,291800,295300,299300,303900,308700,313700,318700,323800,328700,333800,338800,343300,347300,351200,354900,358500,361700,364700,367200,369300,371100,372900,374700,376700,378700,381300,384800,389400,395300,402500,411000,420800,431800,444100,457300,470500,483700,496900,509200,520500,530500,539100,546200,552100,556900,560500,563100,564200,563900,562300,559600,556200,552200,547900,543500,539300,535500,532800,531800,532600,535100,539000,543900,549200,554400,558900,562500,565200,566900,567400,567400,566900,565800,563800,561800,560400,560100,561200,563800,567900,573100,579500,586600,594400,603100,612600,622700,633000,643400,653600,663900,674800,686200,698100,709900,721400,732500,742900,752200,760500,767700,773500,778100,781600,784400,786600,788000,788200,787400,786300,785700,785700,785900,786400,787300,788400,789700,791900,794600,796500,796900,796200,795200,794200,792700,790500,787300,782700,777300,771900,766500,760400,752900,744400,736000,728000,719800,712000,704800,697800,691200,685900,681100,674400,664800,653700,642700,634200,630200,630200,632000,634300,637500,641500,645600,646900,647600,652000,656200,655800,652800,649600,647500,646200,642700,637200,630500,624800,623000,621900,621100,620500,619700,618100,616600,616300,616900,613200,609500,613700,623300,631600,639200,650100,663300,675400,683500,691600,700400,710400,718600,726600,735100,746200,759700,773600,783400,788400,792100,795100,798900,805700,814600,822000,828400,835300,839900,842900,848300,856500,864900,873800,884300,896100,907000,917500,927300,938000,951900,965800,975400,983900,991800,996700,999500,1003300,1008700,1014700,1021200,1028400,1033200,1036600,1040100,1043500,1047600,1054500,1064900,1080200,1096400,1108400,1118100,1125200,1130600,1139500,1154600,1172400,1193600,1219800,1249100,1273100,1299300,1328600,1349800,1363900,1382700,1395500,1396000,1393000,1393200,1387100,1373100,1359100,1351800,1334794.79
6,6001.0,Alameda,CA,202900,202700,202500,202500,202700,203100,203700,204500,205700,207200,208500,209700,211000,212500,214200,216100,218200,220400,222800,225300,228000,230900,233500,235800,237900,240000,242100,244000,245900,247600,249200,250900,253000,255300,257500,259500,261700,264100,266900,270400,274600,279800,286000,292900,300800,309200,317900,326800,335900,344700,352800,360200,366500,371900,376500,380500,384100,387300,390400,393200,395900,398300,400400,402000,403100,403500,403400,402800,402000,401500,401500,402100,403600,406300,409900,414300,419000,423700,428200,432300,435900,439000,441700,444200,446200,447800,449200,450600,452400,455100,458900,463700,469400,475800,482700,490400,498600,507200,516400,526100,536100,546400,557000,567600,578400,589300,599700,610000,620100,629100,636900,643300,648100,651800,654500,656000,656900,657600,658000,657900,657300,656200,654800,653100,651000,649100,647300,645500,644300,644200,643600,642000,639500,636100,631600,626200,619300,611900,604000,595900,587300,578900,569100,558300,547800,538400,529600,522100,515700,510600,506200,502100,498300,495300,491000,485100,478500,471900,465700,461900,460400,461300,463700,466600,469800,471100,470800,470300,470700,472400,474400,473100,470900,467200,463600,460000,454800,447900,443900,440800,436500,430800,427700,427200,427800,425600,421500,419200,419400,419700,421000,423600,426600,430300,434400,440000,446300,454000,462200,469800,476100,482600,491300,503600,519500,536400,551600,562300,570100,576900,583300,588000,591800,596400,601400,608000,613900,618500,622400,627600,631700,636000,641400,647200,652500,658900,667400,676700,685300,693400,701200,708000,714400,720900,724200,727900,734800,741000,743800,747000,751100,754900,756600,759200,760700,762700,766500,772400,779800,789800,796000,797400,799900,805900,814700,821400,824700,829200,837900,847300,856700,870800,886900,896200,900500,906000,908000,905800,907800,913400,917200,917200,914200,910500,987277.3575
7,6067.0,Sacramento,CA,125700,125500,125100,124700,124400,124200,124000,124000,124100,124300,124400,124300,124300,124300,124400,124600,124800,125000,125400,126000,126700,127600,128400,129000,129500,130000,130300,130600,131000,131400,131800,132400,133300,134300,135300,136300,137200,138200,139200,140300,141500,142700,144100,145500,147100,149000,150700,152300,153900,155500,157100,158700,160300,162000,163900,166000,168300,170900,173700,176500,179600,182600,185600,188400,191000,193300,195300,197300,199300,201300,203300,205300,207400,209800,212300,215200,218300,221600,225200,228800,232400,235800,239300,242800,246500,250100,253700,257200,260800,264600,268700,272900,277300,281900,286600,291700,297100,303100,309800,317100,324500,331900,339100,346000,352700,359000,364700,370000,375100,379500,383300,386600,389100,390900,392100,392600,392500,391700,390400,388900,387100,384800,382100,378900,374700,369700,364500,359200,354600,351300,348700,346000,343100,339600,335500,331000,325700,319900,313800,307500,301100,294600,287100,278900,270600,263200,256900,252300,248900,246000,243100,240500,238100,236200,234200,231500,228300,224900,221600,219000,217200,216100,215500,215100,214500,213600,213700,213800,213200,212800,212200,209800,207300,206100,205000,203100,201000,198300,194400,191000,188900,187400,185900,184300,182700,180800,179200,178500,178100,177500,178100,179600,180800,181800,183400,186200,188800,191100,193900,197800,201800,205600,210100,215900,223400,230600,237500,243700,248500,251600,254400,257400,259500,260900,262500,263300,263700,264500,264900,265200,267300,269700,270800,271200,272300,274600,278000,280900,282600,284300,286200,287500,288800,291400,294000,296000,298000,300200,301900,304500,307900,310400,312300,315000,317600,320300,323400,325100,326400,329100,332400,335300,338200,341500,345000,347600,348700,349900,351300,352900,355600,359200,361100,361100,361200,362700,365100,367600,369500,370400,371200,372500,374400,376000,396163.6219
8,6013.0,Contra Costa,CA,193600,192300,191100,190100,189400,189100,189400,190400,192100,194400,196800,198900,200900,202500,204000,205200,206400,207600,208900,210300,211800,213200,214600,215800,217000,218300,219700,220900,221700,222200,222200,222100,222100,222400,223100,224400,226400,229200,232500,236300,240300,244500,249000,253800,258800,264000,269000,274000,279100,284100,289300,294600,300000,305500,311100,316700,322300,327700,332700,337200,341200,344500,347200,349500,351600,353700,356000,358400,360800,363500,366100,368600,371100,373600,376400,379500,382900,386500,390300,394200,398000,401600,404900,408300,411800,415700,419900,424600,429400,434000,438100,441400,444800,448900,454500,461900,470900,481000,492100,503100,512900,521700,530100,538800,548800,560100,572300,585600,599400,612400,623700,632400,638100,641500,643400,643800,642900,641100,638700,635500,631600,627300,622600,617000,611300,607700,607600,609600,611800,611300,606900,599600,591400,583700,577400,571400,564900,557800,550100,541500,532600,523700,514800,504500,491400,475800,459000,444600,434500,426500,418300,410400,402900,395700,388900,382200,375500,368600,363100,360000,358700,357800,357600,357600,357700,357600,357600,358400,360600,363000,364900,366000,365200,363100,360100,356200,350800,346300,342400,338200,333800,331000,328600,325800,323100,319800,316300,313800,312700,312200,312600,314300,316900,320200,324000,327400,331400,336700,342200,347500,353000,359200,366400,374600,383600,392600,401200,408900,415900,422500,429000,435300,441800,447600,451400,454400,457300,459800,462200,464800,467200,470000,474500,480200,485600,490500,495900,501400,506200,511400,517500,522700,526400,529700,532700,535900,539900,543100,545600,548300,551800,556200,561000,565100,568600,572400,577100,582200,586800,591000,594800,598100,600900,603100,604900,607400,609800,611100,612300,614000,616300,620500,626300,631900,636200,641100,646200,650300,652500,654600,655500,654800,652800,651500,677242.23
9,6019.0,Fresno,CA,100800,100600,100400,100100,100000,99800,99800,99800,99900,100100,100200,100200,100100,99800,99600,99200,99000,98800,98800,99000,99400,100000,100600,101100,101500,101900,102200,102300,102400,102400,102400,102500,102500,102600,102600,102600,102700,102800,103100,103500,104000,104700,105400,106300,107200,108100,108700,109100,109200,109400,109500,109600,109800,110100,110400,110800,111400,112200,113100,114200,115400,116600,117800,119000,120200,121400,122500,123600,124800,126000,127400,128700,130100,131700,133400,135400,137500,139700,142000,144500,146900,149300,151700,154200,157000,159800,162700,165800,168700,171700,174600,177400,180300,183300,186700,190600,194900,199600,204500,209700,215200,220800,226600,232400,238400,244300,250100,255900,261800,267200,272200,277000,281400,285500,289300,292700,295600,298000,299800,301200,302100,302500,302300,301200,299500,297200,294500,291700,289100,286700,284400,281700,278700,275300,271700,267800,263800,259400,254600,249500,244200,238900,233900,229100,224600,220400,216400,212500,208800,205400,201900,198400,195000,191900,188900,185700,182300,178800,175500,173200,171700,170400,169200,168200,167800,168000,168100,167800,166800,166000,165800,165000,163200,161300,159900,159200,158400,156900,154300,151700,149700,148000,146600,145500,144400,143400,142700,142000,141600,141500,141600,142000,142300,142900,143700,144300,145200,147100,149200,150700,151600,152300,153400,155100,157500,159800,161700,163900,166100,167800,169500,171300,172700,173900,176100,178800,181200,183000,184000,184700,186000,186800,186900,187400,188400,189100,189900,190800,192300,194000,195500,196800,197600,198300,199400,200400,201200,202200,203500,205000,206900,209200,211200,212800,214300,215900,216900,218200,220100,222000,223900,225700,226900,227500,228400,230000,232100,234000,235000,235600,236600,238900,240800,241400,241800,243000,244400,245400,246000,246700,248200,250000,251600,252500,250825.6406
