,Id,RegionName,State,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,Unnamed: 277
0,,Fulton,GA,132100,132200,132300,132500,132600,132700,132800,133100,133600,134300,135000,135800,136600,137600,138500,139400,140200,140900,141600,142100,142500,143000,143600,144000,144600,145200,145900,146600,147400,148300,149400,150800,152500,154400,156400,158200,160000,161700,163300,164800,166100,167400,168500,169500,170400,171300,172200,173200,174200,175300,176500,177600,178800,180000,181100,182100,183100,184000,185000,185900,186800,187700,188600,189600,190500,191400,192300,193200,194000,194800,195400,196000,196600,197200,197900,198600,199400,200400,201400,202600,203800,204900,205900,206600,207200,207600,207900,208100,208100,208100,208200,208400,208700,209200,210100,211100,212100,213000,213700,214400,215300,216200,217200,218200,219300,220500,221500,222500,223800,225200,226700,228300,229900,231700,233400,235100,236700,238100,239200,239900,240400,240700,241200,242000,242900,243900,245000,245900,246500,247000,247200,247200,247100,246900,246700,246500,246300,245800,245000,243700,241900,240100,238200,236400,234800,233200,231400,229500,227700,226100,224600,223200,221500,219900,218200,216000,213300,210500,207600,205000,202900,200900,199100,197500,196500,195400,195100,194400,193000,191400,190300,188700,187600,186700,185300,183700,182600,181000,178600,177200,177300,177600,177900,178100,176700,174300,172200,170400,168400,167300,167000,166900,166600,166400,166100,165900,166100,167000,168500,170300,172300,174400,176600,178700,180600,183000,186100,188800,190900,193200,195600,198000,200600,202500,203100,203800,205100,206500,207500,208800,210900,212400,213000,214100,215200,215300,214900,215200,215900,216200,216100,215700,215100,213800,212600,211400,210500,211200,215200,221000,226600,231200,235800,241400,246500,250600,254800,258900,262000,264300,265700,266400,266800,267000,267400,268300,270300,273500,276200,278400,281200,285600,290200,293300,295700,298700,300100,300400,301600,304200,308200,311600,313300,314400,309503.4469
1,13135.0,Gwinnett,GA,127200,127500,128000,128600,129100,129600,130000,130300,130700,131000,131300,131500,131600,131800,131900,132000,132100,132400,132700,132900,133300,133700,134100,134500,135000,135400,135800,136300,136700,137200,137800,138400,139100,139900,140600,141400,142200,143000,143800,144600,145300,146000,146700,147500,148200,149100,149900,150700,151500,152300,153100,153900,154600,155200,155900,156500,157200,157900,158500,159000,159500,159900,160300,160800,161200,161600,162100,162600,163200,163700,164300,164900,165400,165900,166300,166700,167000,167400,167600,167900,168200,168300,168500,168600,168800,168900,169200,169500,169900,170300,170800,171400,171900,172400,173000,173500,174000,174500,175000,175400,175800,176300,176700,177200,177700,178300,178700,179300,179800,180300,180800,181400,182000,182800,183600,184300,185100,186000,186800,187700,188600,189500,190300,191200,191900,192500,193000,193200,193400,193700,193900,194000,194000,194000,193800,193800,193900,193800,193500,192700,191600,190500,189300,188100,186900,185700,184200,182400,180500,178600,176600,174400,172300,170500,168400,166100,163700,161200,158800,157100,156100,155400,154800,154100,153600,153600,153700,152200,150100,149100,149200,148800,147600,145500,144100,143600,142900,141200,139000,137600,136600,135100,133100,130900,128900,127200,125300,123400,122200,120900,120000,119600,120000,120800,121600,122000,122300,123000,124300,125600,126900,128600,131000,134000,136900,139300,141400,143800,146600,149500,152000,154200,155800,157300,159400,161800,163300,164300,165300,166500,167700,168300,168500,169000,169600,170000,170300,170700,171000,171400,171900,172600,173600,174800,176000,176800,177400,178200,179000,179900,181200,182800,184200,186000,187900,189400,190300,191200,192400,193800,194700,195400,196700,198200,199600,201100,202700,204200,205700,206900,208300,211000,213900,215600,216900,218800,220700,222000,222700,223800,226000,228300,230000,231300,231836.9616
2,,Dekalb,GA,96300,96800,97300,97900,98500,99200,99900,100600,101300,102100,102800,103600,104300,105000,105700,106300,106900,107500,108100,108700,109400,110200,111000,111800,112600,113400,114100,114700,115500,116200,117000,117800,118700,119600,120400,121200,122000,122800,123600,124500,125400,126400,127400,128300,129300,130300,131300,132300,133300,134400,135400,136400,137500,138600,139600,140600,141700,143000,144200,145400,146600,147700,148600,149300,150000,150600,151100,151600,152100,152700,153200,153700,154000,154300,154500,154700,154900,155300,155700,156300,156900,157400,157900,158300,158800,159100,159500,160000,160400,160900,161200,161500,161600,161600,161600,161600,161700,162000,162500,163000,163500,164100,164600,165100,165600,166300,166900,167700,168600,169500,170300,171000,171600,172300,172900,173500,174000,174400,174700,174900,175100,175100,175100,175200,175300,175500,175600,175800,176300,176900,177300,177600,178000,178200,178000,177700,177300,176700,175900,174700,173200,171500,169400,167400,165700,164000,162000,159800,157900,156200,154500,152800,151000,149400,147400,145400,143400,141300,139000,137200,135900,135000,134100,133400,132200,131500,132000,131400,129300,128400,128300,127500,126100,124400,122900,122000,121200,119900,118700,118100,117200,115100,113100,111600,109800,107700,105800,103900,101900,100200,98600,97100,96000,95200,94600,94200,93700,93300,93200,93700,94400,95200,96000,97400,99200,101100,103200,105500,107800,110400,112600,114100,115400,116700,117900,119500,121400,122800,124100,125500,127200,128700,129800,131000,132400,133500,134100,134100,135400,138300,141100,142700,143700,144300,144500,144800,145600,146500,147400,148700,150200,150900,150900,151500,153000,154800,156500,157700,158600,159900,161800,163500,165000,166300,167100,167800,169100,170600,172200,174100,176200,179000,181900,184200,185900,187400,188800,190000,191000,192800,196000,199300,201800,203300,207347.7109
3,13067.0,Cobb,GA,130000,130100,130100,130100,130200,130400,130600,130800,131200,131600,132000,132400,132700,133100,133500,133900,134400,135000,135500,136200,136900,137600,138300,138800,139400,139900,140300,140700,141100,141500,141900,142400,143100,143800,144600,145500,146600,147700,148900,150200,151500,152700,153900,155000,156200,157300,158400,159300,160200,160900,161700,162400,163100,163900,164800,165600,166400,167200,168000,168600,169200,169700,170300,170900,171400,172000,172700,173400,174200,175000,175800,176500,177000,177500,177900,178200,178500,178800,179100,179300,179500,179700,179900,180200,180600,181000,181400,181900,182400,182900,183400,183900,184300,184600,184900,185300,185800,186400,187000,187700,188400,189200,189900,190600,191400,192200,193000,193800,194600,195300,196100,196900,197700,198500,199500,200400,201500,202600,203500,204400,205400,206400,207600,208800,209900,211000,211900,212500,213100,213700,214100,214400,214700,215100,215300,215200,214700,214000,213000,211900,210800,209700,208600,207600,206600,205500,204400,203000,201400,199900,198700,197600,196500,195400,194000,192400,190600,188600,186700,185200,184100,183200,182500,182300,181900,181000,181100,181700,181200,180300,179300,177700,176100,174900,173500,171700,169400,167600,165600,163500,162300,161400,159800,158600,157300,155600,154400,153800,153500,153600,153500,152900,152300,152400,153200,154300,156200,158500,160000,161100,162900,164700,165900,166800,168100,169400,170700,172500,174200,175300,176000,176400,176400,176700,178300,181200,183800,185800,188100,189900,191000,191700,192800,194600,196000,196100,196100,196600,197300,198900,200300,201300,202100,202800,203300,204300,206000,208100,210100,212000,213900,215900,217800,219400,221100,222900,224700,226400,227700,228600,229700,230900,232300,233700,234700,235400,236600,238500,240600,242600,244500,247300,250600,253100,254800,256300,257500,258400,259100,260400,263000,265600,267700,269400,267008.4419
4,13051.0,Chatham,GA,76200,76300,76400,76500,76700,76900,77100,77400,77600,77900,78200,78400,78700,78900,79100,79300,79600,79900,80300,80700,81300,82100,82800,83500,84300,85100,86000,86900,88000,89100,90300,91600,93000,94400,95700,96800,97900,98900,99600,100200,100500,100700,100700,100500,100200,99900,99400,99000,98500,98100,97700,97500,97600,97800,98300,99000,100000,101000,101900,102900,103700,104600,105400,106100,106800,107400,108000,108500,108900,109100,109100,108900,108600,108300,108000,107700,107600,107700,108000,108400,109000,109800,110900,112100,113800,115700,117900,120100,122200,124100,125600,126800,127700,128400,128900,129300,129700,130300,130800,131500,132000,132400,132900,133400,134300,135600,137600,140100,142800,145100,147200,148900,150300,151500,152800,154100,155300,156300,157300,158000,158800,159600,160500,161300,162200,163100,164100,165100,165800,166300,166500,166400,166100,165700,165200,164700,164200,163600,163100,162600,161700,160800,159600,158300,156800,155200,153600,152500,151600,151000,150600,150200,149500,148800,148200,147600,146900,146000,145200,144600,144000,143500,143300,143100,143400,143600,143100,142700,142700,142000,141000,140800,141100,140600,139500,138500,137600,136800,137300,138200,137700,136200,135400,133900,132200,130900,129700,128500,127800,127600,127300,126600,126300,127400,128000,128200,128200,128800,129300,129200,128700,128500,127200,125400,125100,126300,127600,128300,128600,128600,129100,130300,131500,132200,132700,133700,134700,135100,135000,135400,136500,137600,138100,138100,138300,139100,139800,140600,141400,142700,144300,145900,146900,147500,148100,149100,149400,149000,149200,149800,149800,149300,149100,149000,148900,149200,149400,149700,150200,151100,152100,153100,154200,155100,155800,156600,157400,158000,158800,159800,160500,161200,162300,163800,164800,164800,164900,165500,165800,166500,168100,169400,170100,170500,171841.285
5,13063.0,Clayton,GA,85300,85400,85400,85400,85500,85600,85700,85800,85900,86200,86400,86600,86900,87200,87600,87900,88200,88600,89100,89500,90000,90500,90900,91300,91700,92100,92500,92800,93200,93500,93900,94200,94600,95100,95500,95900,96300,96700,97100,97500,97900,98300,98700,99200,99700,100300,101000,101700,102400,103100,103800,104500,105200,105900,106500,107200,107800,108400,109100,109800,110400,111100,111800,112500,113300,114000,114700,115300,115900,116500,117100,117600,118000,118500,118900,119300,119700,120100,120500,120800,121100,121300,121400,121600,121800,122000,122200,122300,122500,122600,122800,122800,122900,122900,122900,122900,122800,122800,122900,122900,123000,123200,123300,123500,123800,124200,124400,124700,125200,125500,125500,125800,126300,126700,127000,127200,127500,127800,127800,128000,128200,128000,127300,126800,126400,126000,125600,125200,125200,125300,125000,125000,125500,125300,124900,124900,125000,125000,124500,123400,121900,120000,117100,114700,113200,111300,109100,106700,103700,100300,96900,93200,89800,86400,82700,79300,76100,72700,68800,65100,61700,59000,56800,55100,53400,52500,53100,52100,49400,48600,49500,49700,49200,48200,47400,46900,46000,44800,43800,42900,42200,41500,40400,39400,38900,38700,38400,38200,38100,38000,37700,37900,38600,39100,39200,39400,39700,40200,41000,41600,42600,43600,44700,46100,47200,48000,49200,50700,51900,52800,53600,54300,54900,55400,55900,56900,58200,59000,59500,60200,61100,61800,62400,63300,64200,64900,65500,66000,66700,67500,67900,68800,70800,72700,73400,73800,74500,75100,75300,75500,75800,75900,76200,76700,76700,76900,77500,78500,79400,80000,80300,80900,82100,83700,85100,86400,87600,88200,88800,89700,91000,92800,95000,97000,98800,100400,101900,103000,104400,107100,110900,114000,116100,117800,116404.5302
6,37039.0,Cherokee,GA,106700,107400,108300,109200,110300,111500,112700,113900,115000,116000,116900,117900,119000,120300,121500,122800,123800,124600,125400,125900,126400,126800,127300,127900,128500,129000,129600,130100,130700,131400,132100,132900,133700,134500,135200,135800,136200,136600,137000,137400,137900,138500,139100,139800,140700,141700,142900,144100,145500,146900,148200,149400,150500,151400,152200,152800,153300,153700,154100,154500,154800,155200,155700,156200,156900,157800,158900,160200,161800,163400,164800,165900,166800,167400,167900,168200,168600,169000,169300,169700,170000,170000,169900,169900,170000,170300,170600,171000,171400,172000,172500,173000,173500,174100,174600,175100,175700,176500,177400,178400,179300,180000,180500,180900,181200,181500,181800,182300,182800,183400,183800,184400,185100,185900,186900,188000,189200,190600,192000,193300,194600,195700,196600,197600,198600,199600,200600,201600,202700,203700,204500,205200,205900,206400,206700,206700,206700,206400,205700,204800,203800,203000,202300,201700,201200,200700,199800,198400,196300,194200,192300,190400,188500,186700,184700,182600,180400,178100,175800,174100,173200,172500,172000,171600,171600,170700,170300,169900,169200,168800,169600,169500,168800,167800,166700,165200,163300,161600,160200,159400,158400,156800,154500,152600,151400,150500,149800,149200,148700,148800,149100,149200,149100,149200,149600,150400,151000,151500,151600,152000,152900,153900,154600,155500,156400,157300,158800,160800,162300,163600,165000,166700,168300,169800,170700,171900,173700,175900,177500,178400,179100,180200,181600,182900,184000,185000,186200,187500,188800,190300,191000,191600,192700,193500,194000,195100,196000,196400,196800,197500,199000,201300,203900,206500,209200,211600,213600,215200,216900,218600,220500,222000,223100,223900,224600,225100,226000,227200,228500,230000,231800,234400,237700,240300,242300,243800,245200,246300,247400,248900,251500,254000,255700,256900,268366.2319
7,51089.0,Henry,GA,89300,90300,91200,92300,93400,94500,95400,95700,95700,95400,94800,94100,93800,94200,95200,96500,98100,99600,100800,101500,101600,101500,101100,100700,100400,100600,101200,102400,104000,105900,108000,110000,112100,114100,115900,117500,119000,120400,121600,122600,123300,123800,124100,124300,124700,125200,125700,126100,126400,126700,127100,127500,128100,128900,129800,130800,131900,133200,134300,135000,135600,136100,136400,136600,136800,137100,137400,137800,138100,138500,139000,139500,139900,140300,140800,141400,142100,142900,143600,144300,144800,144700,144300,144300,145000,146000,146900,147600,148000,148100,148300,148700,149400,150500,151800,152900,153800,154500,155100,155600,156100,156400,156800,157100,157500,158200,158900,159700,160500,161200,161700,162200,162600,163000,163500,164200,165000,165900,166900,167800,168600,169300,169700,170200,170600,171000,171400,171600,171900,172300,172600,172800,173100,173200,173000,172700,172400,171800,171000,170100,169000,167600,165700,163600,161600,159500,157700,156200,154900,153400,151700,150200,148900,147600,146300,145000,143800,142400,140700,138900,136800,134700,132700,131300,130400,129400,129400,129100,127400,125700,124900,123300,122000,121700,121500,121000,120500,120100,119600,118900,117900,116800,115500,114500,113600,112900,111900,110200,107900,105600,103800,102900,102900,103100,103000,103000,103000,103200,104100,105500,106900,108100,108700,109000,109600,110900,112500,114200,115300,116000,116800,117900,119200,121000,122900,124400,125900,127000,127800,128800,130000,130800,131100,131700,132900,134200,134800,135300,136800,138500,139700,140600,141800,142900,143400,143400,143200,143400,144300,145400,145900,146500,147600,149000,150300,151200,152000,152800,153800,154400,154700,155600,156800,157700,158300,159000,159800,160500,160800,161500,162300,162900,164100,165800,166900,167900,168900,170000,171100,172900,175500,177900,179200,180100,178286.7909
8,13215.0,Muscogee,GA,72900,72800,72700,72600,72600,72600,72500,72500,72500,72600,72900,73200,73500,73900,74300,74600,74900,75200,75400,75600,75700,75800,75900,76000,76200,76400,76600,76800,77000,77300,77600,78000,78400,78900,79300,79700,80100,80400,80700,80800,80900,80900,80800,80700,80600,80500,80400,80400,80500,80600,80700,80800,81000,81200,81500,81800,82200,82500,82900,83400,83800,84100,84300,84500,84600,84600,84600,84600,84500,84500,84600,84600,84700,84800,84900,84900,84900,84900,84800,84800,84700,84600,84700,85000,85300,85700,86200,86800,87400,88000,88500,89000,89500,89900,90300,90800,91300,91900,92300,92700,93200,93800,94800,96100,97900,99700,100700,101100,101100,101100,101100,101300,101600,101800,101900,101900,101900,102000,102300,102700,103100,103900,104800,106000,107100,108000,108500,108800,108900,109100,109600,110300,110800,111100,111200,111300,111400,111800,112200,112700,113100,113400,113400,113200,112900,112200,111400,110700,110100,109500,108900,108400,107900,107600,107300,107100,106900,106400,105600,104700,103800,103000,102500,102000,101900,100900,100400,100600,100800,100300,100600,100500,99800,98600,97500,96400,94900,93600,92400,91200,90300,90100,90000,90000,90600,91300,91600,91800,92200,92200,91200,89500,88600,88600,88600,88200,87900,87800,87600,87200,86600,86600,87400,88200,88600,88600,88300,88400,88600,88400,88100,87600,87300,87000,86700,86300,85900,85800,85700,85200,84500,84100,83800,83700,84100,84500,84300,84300,84400,84200,83900,83900,84100,84400,85100,86200,87600,89000,90500,91200,90800,89400,88400,87900,87200,86700,86300,85500,84500,83800,83500,83900,85000,86000,86700,87100,87500,87700,87900,88300,88000,87800,89100,91200,92500,93700,94800,95900,96900,97800,99000,100300,101400,102100,101036.99699999999
9,48191.0,Hall,GA,94500,94800,95100,95400,95700,95900,96000,96100,96100,96000,95900,95600,95500,95400,95500,95900,96400,97000,97700,98300,98900,99400,99900,100200,100500,100800,101200,101800,102400,103100,103900,104900,106000,107200,108500,109800,111200,112500,113800,114900,115900,116600,117200,117600,117900,118200,118400,118600,118900,119300,119800,120300,121000,121900,122800,123700,124900,126100,127100,128000,128700,129300,129800,130100,130400,130800,131100,131500,131900,132400,132800,133200,133700,134100,134400,134800,135000,135200,135400,135600,135800,135900,136100,136300,136500,136700,137000,137300,137600,138000,138300,138800,139200,139800,140400,141100,141800,142500,143200,144000,144700,145400,146100,146800,147600,148400,149200,150000,150800,151600,152400,153300,154300,155200,156100,156900,157800,158600,159500,160300,161100,161700,162100,162500,162900,163200,163500,163900,164200,164400,164500,164400,164200,164100,164100,164300,164400,164500,164500,164400,163900,163200,162200,160900,159400,158100,157000,156200,155300,154300,153200,152000,150800,149700,148500,147100,145600,144100,142500,140900,139400,138300,137100,136000,135200,134700,134200,133800,133800,134200,133900,133000,133000,133300,132600,131100,129500,127000,124900,123900,122800,121100,119400,117600,115100,112600,111600,112100,113100,114500,115600,115500,114900,114900,115900,117700,118900,119200,119000,118700,118300,118000,118700,120500,122000,123100,123600,123300,123300,124200,125400,126600,127700,128800,129700,130700,132200,134000,135700,137200,138400,139600,140500,141100,141400,141800,142400,142700,142800,143100,143600,144400,145600,146700,147800,148800,149600,150300,150700,151200,152400,154000,155000,156200,157400,158500,159600,160900,162000,162800,163600,165000,166500,167400,168200,169200,170500,171900,173000,173600,174500,176200,178100,179400,180600,182100,183300,184700,186900,189000,190600,192200,193700,194600,195119.5925
